IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.238.40.58,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,62,4.85
47.76.189.102,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,51,4.85
8.210.34.188,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,91,4.84
47.237.94.140,2083,2083,TRUE,SIN,Asia Pacific,Singapore,63,4.84
47.236.172.95,2096,2096,TRUE,SIN,Asia Pacific,Singapore,56,4.83
8.210.100.23,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,61,4.83
8.218.142.253,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,76,4.82
8.219.111.175,2083,2083,TRUE,SIN,Asia Pacific,Singapore,110,4.81
8.219.111.147,2087,2087,TRUE,SIN,Asia Pacific,Singapore,60,4.81
47.237.84.173,2053,2053,TRUE,SIN,Asia Pacific,Singapore,70,4.81
47.237.11.182,2087,2087,TRUE,SIN,Asia Pacific,Singapore,57,4.8
47.237.8.82,2053,2053,TRUE,SIN,Asia Pacific,Singapore,30,4.79
47.242.79.71,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,57,4.79
8.222.214.231,2083,2083,TRUE,SIN,Asia Pacific,Singapore,79,4.78
47.243.18.199,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,53,4.78
47.238.35.50,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,74,4.78
47.76.192.24,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,51,4.78
8.210.107.246,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,106,4.77
8.210.107.246,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,75,4.77
130.61.64.54,443,443,TRUE,FRA,Europe,Frankfurt,190,5.73
143.47.179.137,443,443,TRUE,FRA,Europe,Frankfurt,186,5.71
89.168.108.243,443,443,TRUE,FRA,Europe,Frankfurt,258,5.7
132.145.237.41,443,443,TRUE,FRA,Europe,Frankfurt,273,5.7
130.162.58.94,443,443,TRUE,FRA,Europe,Frankfurt,324,5.7
140.238.195.98,443,443,TRUE,SYD,Oceania,Sydney,93,5.69
193.123.93.103,2053,443,TRUE,CDG,Europe,Paris,85,5.68
140.238.81.125,443,443,TRUE,FRA,Europe,Frankfurt,256,5.66
143.47.229.125,443,443,TRUE,FRA,Europe,Frankfurt,332,5.62
158.179.172.95,443,443,TRUE,ICN,Asia Pacific,Seoul,68,5.62
140.238.122.124,443,443,TRUE,FRA,Europe,Frankfurt,256,5.61
141.148.242.63,443,443,TRUE,FRA,Europe,Frankfurt,262,5.61
152.70.60.225,443,443,TRUE,FRA,Europe,Frankfurt,334,5.6
132.226.132.247,443,443,TRUE,FRA,Europe,Frankfurt,255,5.57
141.147.48.158,443,443,TRUE,FRA,Europe,Frankfurt,365,5.57
138.3.222.135,443,443,TRUE,NRT,Asia Pacific,Tokyo,71,5.55
158.101.207.26,443,443,TRUE,FRA,Europe,Frankfurt,264,5.55
130.162.48.63,443,443,TRUE,FRA,Europe,Frankfurt,273,5.52
130.61.109.6,2096,443,TRUE,FRA,Europe,Frankfurt,259,5.5
34.154.255.245,443,443,TRUE,FRA,Europe,Frankfurt,252,5.33
34.118.100.60,443,443,TRUE,FRA,Europe,Frankfurt,209,5.33
35.246.158.54,443,443,TRUE,FRA,Europe,Frankfurt,184,5.32
34.89.193.162,443,443,TRUE,FRA,Europe,Frankfurt,261,5.32
34.118.16.200,443,443,TRUE,FRA,Europe,Frankfurt,248,5.31
34.116.161.128,443,443,TRUE,FRA,Europe,Frankfurt,322,5.31
34.107.32.69,443,443,TRUE,FRA,Europe,Frankfurt,262,5.29
34.118.17.244,443,443,TRUE,FRA,Europe,Frankfurt,266,5.29
34.154.129.35,443,443,TRUE,FRA,Europe,Frankfurt,253,5.28
34.90.66.225,443,443,TRUE,FRA,Europe,Frankfurt,259,5.27
34.65.122.169,443,443,TRUE,FRA,Europe,Frankfurt,250,5.27
35.198.83.199,443,443,TRUE,FRA,Europe,Frankfurt,267,5.27
34.65.221.121,443,443,TRUE,FRA,Europe,Frankfurt,251,5.27
34.107.6.24,443,443,TRUE,FRA,Europe,Frankfurt,297,5.26
34.147.46.136,443,443,TRUE,FRA,Europe,Frankfurt,272,5.25
34.118.62.176,443,443,TRUE,FRA,Europe,Frankfurt,271,5.25
34.154.252.49,443,443,TRUE,FRA,Europe,Frankfurt,261,5.25
34.90.66.225,443,443,TRUE,FRA,Europe,Frankfurt,258,5.24
34.91.80.183,443,443,TRUE,FRA,Europe,Frankfurt,253,5.24
